,calories,carbo,cups,fat,fiber,potass,protein,sodium,sugars,vitamins,weight,best_kmeans_cluster
0,70,5.0,0.33,1,10.0,280.0,4,130,6.0,25,1.0,4
1,120,8.0,1.0,5,2.0,135.0,3,15,8.0,0,1.0,0
2,70,7.0,0.33,1,9.0,320.0,4,260,5.0,25,1.0,4
3,50,8.0,0.5,0,14.0,330.0,4,140,0.0,25,1.0,4
4,110,14.0,0.75,2,1.0,,2,200,8.0,25,1.0,1
5,110,10.5,0.75,2,1.5,70.0,2,180,10.0,25,1.0,1
6,110,11.0,1.0,0,1.0,30.0,2,125,14.0,25,1.0,1
7,130,18.0,0.75,2,2.0,100.0,3,210,8.0,25,1.33,7
8,90,15.0,0.67,1,4.0,125.0,2,200,6.0,25,1.0,2
9,90,13.0,0.67,0,5.0,190.0,3,210,5.0,25,1.0,2
10,120,12.0,0.75,2,0.0,35.0,1,220,12.0,25,1.0,1
11,110,17.0,1.25,2,2.0,105.0,6,290,1.0,25,1.0,2
12,120,13.0,0.75,3,0.0,45.0,1,210,9.0,25,1.0,1
13,110,13.0,0.5,2,2.0,105.0,3,140,7.0,25,1.0,0
14,110,12.0,1.0,1,0.0,55.0,1,180,13.0,25,1.0,1
15,110,22.0,1.0,0,0.0,25.0,2,280,3.0,25,1.0,6
16,100,21.0,1.0,0,1.0,35.0,2,290,2.0,25,1.0,6
17,110,13.0,1.0,0,1.0,20.0,1,90,12.0,25,1.0,1
18,110,12.0,1.0,1,0.0,65.0,1,180,13.0,25,1.0,1
19,110,10.0,0.5,3,4.0,160.0,3,140,7.0,25,1.0,0
20,100,21.0,1.0,0,1.0,,3,80,0.0,0,1.0,5
21,110,21.0,1.0,0,1.0,30.0,2,220,3.0,25,1.0,6
22,100,11.0,0.75,1,2.0,120.0,2,140,10.0,25,1.0,1
23,100,18.0,0.75,0,1.0,80.0,2,190,5.0,25,1.0,2
24,110,11.0,1.0,1,1.0,30.0,2,125,13.0,25,1.0,1
25,110,14.0,0.75,0,1.0,25.0,1,200,11.0,25,1.0,1
26,100,14.0,0.8,0,3.0,100.0,3,0,7.0,25,1.0,5
27,120,12.0,0.67,2,5.0,200.0,3,160,10.0,25,1.25,7
